start station name,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender,Month,Year
Montgomery St,375.48582995951415,3483.0,40.719420000000014,-74.05098999999981,3250.7975708502026,40.72097532859533,-74.04447718618947,28263.58704453441,1981.48987854251,1.194331983805668,February,2019
Morris Canal,352.8631090487239,3267.0,40.71241882375721,-74.03852552175522,3234.6032482598607,40.7176633575267,-74.03606886533959,28178.07656612529,1979.877030162413,1.0719257540603249,February,2019
Newark Ave,370.62948207171314,3211.0,40.721525149999785,-74.04630454300043,3264.902390438247,40.72176545241429,-74.04542862366667,28358.109561752986,1982.2529880478087,1.157370517928287,February,2019
Newport PATH,460.4171052631579,3202.0,40.72722349999918,-74.03375889999906,3337.507894736842,40.72271607165937,-74.0389229361637,28240.802631578947,1981.2763157894738,1.1473684210526316,February,2019
Newport Pkwy,670.8777173913044,3199.0,40.728744800000236,-74.03210820000012,3323.1820652173915,40.723486704324515,-74.03849558587358,28249.578804347828,1982.3315217391305,1.184782608695652,February,2019
Oakland Ave,552.4334600760457,3207.0,40.73760369999999,-74.05247830000006,3403.9885931558933,40.73046214895472,-74.05441971959672,28192.634980988594,1984.551330798479,1.11787072243346,February,2019
Paulus Hook,442.79753086419754,3184.0,40.71414539999971,-74.0335519,3287.7802469135804,40.72031349584066,-74.04165329403487,28239.846913580248,1979.4345679012345,1.037037037037037,February,2019
Pershing Field,1097.8037037037036,3210.0,40.742677140999824,-74.05178863300023,3384.737037037037,40.73230434595689,-74.05602763449603,28169.644444444446,1983.2222222222222,1.0888888888888888,February,2019
Riverview Park,835.1029411764706,3196.0,40.74431869999994,-74.0439909,3239.970588235294,40.7325711853162,-74.04674268712935,28516.941176470587,1982.5,1.0735294117647058,February,2019
Sip Ave,652.032347504621,3195.0,40.730742625307386,-74.06378388404845,3323.275415896488,40.72610542918085,-74.06621485916801,28414.019408502772,1981.9584103512016,1.1515711645101663,February,2019
Union St,889.8571428571429,3191.0,40.71821129999999,-74.08363940000002,3247.4285714285716,40.727420712275126,-74.06324786966748,27910.285714285714,1978.9642857142858,1.6071428571428572,February,2019
Van Vorst Park,960.3990929705216,3213.0,40.718488919999835,-74.04772662500089,3229.1995464852607,40.71916140734343,-74.04298032610373,28327.984126984127,1979.3265306122448,1.1383219954648527,February,2019
Warren St,578.4694444444444,3187.0,40.72112360000018,-74.03805094999943,3302.3555555555554,40.720166129572846,-74.04083258553867,28247.06388888889,1980.736111111111,1.1416666666666666,February,2019
Washington St,1073.5031055900622,3638.0,40.724294100000265,-74.03548260000018,3299.801242236025,40.72288263258623,-74.03876696100741,28176.624223602485,1982.1180124223602,1.204968944099379,February,2019
York St,404.0511363636364,3481.0,40.71648999999986,-74.04104999999986,3246.3352272727275,40.71886332534587,-74.04036930042261,28192.4375,1978.2727272727273,1.3409090909090908,February,2019
5 Corners Library,610.6629213483146,3220.0,40.734961020009656,-74.05950307846071,3243.9044943820227,40.73305992545348,-74.05466699377911,28178.162921348314,1981.0280898876404,1.1179775280898876,March,2019
Astor Place,607.90234375,3280.0,40.71928220070718,-74.07126188278198,3247.734375,40.72883485627117,-74.063190053388,28255.75390625,1978.25390625,1.1875,March,2019
Baldwin at Montgomery,586.5,3225.0,40.723658900000174,-74.0641942999996,3258.1306306306305,40.72414931216034,-74.05124192022704,28185.292792792792,1983.2027027027027,1.054054054054054,March,2019
Bergen Ave,561.8474576271186,3679.0,40.722103786685906,-74.07145500183104,3228.870056497175,40.72802528603891,-74.05949985733861,28316.265536723164,1979.870056497175,1.2429378531073447,March,2019
Brunswick & 6th,391.0335463258786,3269.0,40.7260117296464,-74.0503889322281,3225.2603833865815,40.721017710694504,-74.04285674741162,28437.43450479233,1981.8785942492013,1.3115015974440896,March,2019
Brunswick St,358.0758853288364,3209.0,40.72417649999989,-74.0506564000003,3214.733558178752,40.720816318265086,-74.04379309495265,28410.175379426644,1982.4384485666105,1.197301854974705,March,2019
Christ Hospital,666.5416666666666,3212.0,40.73478581800008,-74.05044363600015,3310.4940476190477,40.72873735272083,-74.05322945074971,28134.255952380954,1984.4642857142858,1.2857142857142858,March,2019
City Hall,762.978783592645,3185.0,40.717732500000324,-74.04384500000013,3289.3960396039606,40.718236942835155,-74.04573687352774,28375.26449787836,1980.6294200848656,1.1216407355021216,March,2019
Columbus Drive,541.3171247357294,3275.0,40.71835519823217,-74.03891444206238,3302.5412262156447,40.72057035772409,-74.03898811219226,28376.019027484144,1982.1966173361523,1.1310782241014798,March,2019
Communipaw & Berry Lane,1627.6235294117646,3277.0,40.71435836870431,-74.06661093235016,3219.3882352941177,40.71875480451823,-74.04688149631227,28334.38823529412,1982.2470588235294,1.035294117647059,March,2019
Dey St,637.38,3201.0,40.737711,-74.06692100000006,3418.16,40.730808177770456,-74.05537860840936,28629.84,1977.76,1.24,March,2019
Dixon Mills,377.09382151029746,3279.0,40.7216301426382,-74.04996782541275,3265.3821510297485,40.719818440989336,-74.04322651941573,28442.50114416476,1981.0389016018307,1.2356979405034325,March,2019
Essex Light Rail,609.8310991957104,3214.0,40.71277419999973,-74.0364856999996,3249.828418230563,40.718441254933175,-74.03979090435857,28400.53887399464,1980.1796246648794,1.1420911528150135,March,2019
Exchange Place,744.6832535885168,3183.0,40.716246900000506,-74.03345879999836,3285.442105263158,40.71800753639618,-74.04106190999123,28493.364593301434,1979.6555023923445,1.0306220095693779,March,2019
Fairmount Ave,490.41011235955057,3678.0,40.72572613742547,-74.07195925712584,3234.887640449438,40.729624241632116,-74.06191327741958,28355.511235955055,1984.252808988764,1.1123595505617978,March,2019
Glenwood Ave,556.5149253731344,3677.0,40.72755146730014,-74.07106071710588,3239.313432835821,40.72536699792831,-74.06078057836356,28304.52985074627,1980.6268656716418,1.2388059701492538,March,2019
Grand St,366.11011904761904,3681.0,40.71517767732034,-74.03768330812454,3270.0178571428573,40.71927078661502,-74.03952073507651,28400.407738095237,1979.6160714285713,1.0892857142857142,March,2019
Grove St PATH,332.53324767105687,3186.0,40.71958611646909,-74.0431174635887,3264.1901702537743,40.7216997448121,-74.04746026321044,28437.530356569227,1980.3077417282364,1.1683263732733697,March,2019
Hamilton Park,408.4957627118644,3203.0,40.72759596599892,-74.0442473110012,3240.2194915254236,40.72111928860501,-74.0419871756372,28361.290677966103,1980.465254237288,1.2728813559322034,March,2019
Harborside,587.1244444444444,3639.0,40.71925170000027,-74.0342339999993,3260.7944444444443,40.72182062408802,-74.04039151584827,28429.042222222222,1980.3422222222223,1.1066666666666667,March,2019
Heights Elevator,769.609756097561,3198.0,40.74871594538028,-74.04044330120088,3217.268292682927,40.7345804033686,-74.04456088709115,28225.414634146342,1985.0487804878048,1.2357723577235773,March,2019
Hilltop,646.6820809248555,3206.0,40.73116889999989,-74.05757359999973,3285.023121387283,40.726976336568946,-74.04969275067418,28571.50289017341,1981.6011560693642,1.1560693641618498,March,2019
JC Medical Center,733.9252577319587,3205.0,40.71653978099168,-74.0496379137039,3230.8711340206187,40.71929276605339,-74.04420853527463,28371.149484536083,1981.0721649484535,1.056701030927835,March,2019
JCBS Depot,580.9230769230769,3426.0,40.709650833640595,-74.0686011314392,3413.846153846154,40.7099441407984,-74.06815939224683,28061.076923076922,1989.923076923077,1.0,March,2019
Jackson Square,931.8387096774194,3694.0,40.71113,-74.07889999999999,3296.451612903226,40.72113529039536,-74.05431715561308,28515.129032258064,1983.5483870967741,1.2258064516129032,March,2019
Jersey & 3rd,309.3507194244604,3272.0,40.72333158646476,-74.04595255851744,3270.1492805755397,40.722480371609834,-74.04427415804425,28460.55215827338,1978.5647482014388,1.2428057553956835,March,2019
Jersey & 6th St,417.0966666666667,3270.0,40.725289107810866,-74.04557168483734,3230.79,40.72053947085998,-74.04249925579074,28359.7,1977.24,1.18,March,2019
Journal Square,494.65157480314963,3640.0,40.73367000000009,-74.0625,3254.2263779527557,40.73484768175282,-74.05373928076003,28358.996062992126,1982.6988188976377,1.1535433070866141,March,2019
Lafayette Park,782.4583333333334,3268.0,40.713463826691935,-74.06285852193831,3210.4583333333335,40.71732069602074,-74.04701577720462,28444.45,1987.4416666666666,1.1416666666666666,March,2019
